plateifu,mangaid,dr7objid,ra,dec
9512-1901,1-53885,587725075528417524,138.01794,0.42179787
9512-9101,1-605753,587725075528941624,139.20848,0.57271457
9512-12705,1-54258,587725075529334954,140.19241,0.60472035
8713-12704,1-43857,587725469052436738,118.23528,38.928204
8713-6104,1-43865,587725469052502129,118.31733,39.050137
9487-3701,1-45187,587725469055844591,124.22582,45.263103
8725-12704,1-45787,587725469056893134,126.37104,47.133503
8244-1902,1-46864,587725469058793627,130.91504,50.386543
9182-12702,1-43864,587725469589635326,118.27939,39.744385
8140-12705,1-43849,587725469590028611,118.98607,40.553967
8143-12701,1-44015,587725469590225331,119.26902,40.99516
8143-9101,1-44013,587725469590356265,119.40122,41.11459
8143-3704,1-44418,587725469590814856,120.38462,42.00232
8143-3703,1-44447,587725469591011656,120.63983,42.392715
9487-6104,1-45593,587725469592781089,124.12059,45.637753
8244-6101,1-47120,587725469595730039,130.45488,50.786427
8244-6103,1-47705,587725469595926643,130.9964,51.090267
8721-9102,1-48760,587725469597761644,135.79643,54.064346
8713-3701,1-43584,587725470125982009,117.061165,39.045803
8713-6103,1-43896,587725470126506201,117.87814,39.995846
8143-6102,1-44009,587725470127161656,118.94688,41.280422
8143-3702,1-44483,587725470127620165,119.83483,42.057068
8143-6104,1-44479,587725470127620329,119.82248,42.008526
8143-9102,1-44463,587725470127685903,119.92992,42.19978
8143-12703,1-44565,587725470128275628,120.90848,43.34305
9487-9101,1-45179,587725470129717308,123.57119,46.010307
9487-1902,1-45175,587725470129717463,123.517586,46.00487
9487-9102,1-574504,587725470129782832,123.82029,46.075245
8244-9102,1-48410,587725470133715144,132.97769,52.90089
8244-6104,1-47862,587725470133780507,133.02736,52.932755
8721-12701,1-48557,587725470134435928,134.79976,54.04306
8713-12701,1-43528,587725470662590693,116.182106,38.63499
9487-6102,1-45131,587725470666064098,122.06546,45.284946
8718-12703,1-45126,587725470666064138,122.06883,45.34833
8721-12704,1-48773,587725470671634687,135.23651,54.9545
8721-1901,1-48772,587725470671700065,135.34337,55.040737
8140-12702,1-43632,587725471200772399,117.9032,41.46046
8141-12703,1-604937,587725471202214157,120.36012,44.193607
9487-12701,1-44618,587725471203328190,122.52286,46.193027
9487-1901,1-44625,587725471203459202,122.67917,46.54833
8243-9102,1-605419,587725471207063715,130.8217,52.757927
8724-1902,1-47221,587725471207653516,132.28497,53.780136
8724-3704,1-48450,587725471207653530,132.2615,53.83854
8724-9102,1-47196,587725471207719144,132.60239,53.89705
8724-9101,1-48437,587725471207981300,133.17009,54.434193
8724-12705,1-48460,587725471208046831,133.58269,54.457783
8721-12702,1-48545,587725471208440016,134.59937,55.054844
8721-6104,1-48884,587725471208767691,135.60582,55.609238
7992-3701,1-22347,587725489986142374,252.17075,63.479195
7992-3704,1-22333,587725489986404551,252.47443,62.842026
7991-6101,1-24018,587725489989288036,257.58228,56.757256
7992-6103,1-22414,587725490522816707,252.6189,64.02065
7992-6101,1-22301,587725490523275462,253.40549,63.031223
8625-6103,1-24104,587725490525831281,257.9575,57.589546
7991-1902,1-24099,587725490525896799,258.02762,57.50401
7991-3702,1-23979,587725490525962490,258.15872,57.322414
8625-12701,1-24003,587725490526027938,257.95755,57.11092
9196-6101,1-24557,587725490527994067,260.5161,52.958008
7992-3702,1-22383,587725491059556446,253.31306,64.47625
7992-12705,1-22942,587725491060277495,254.39537,62.872505
7991-1901,1-24092,587725491062571200,258.54846,57.97611
8625-3702,1-24132,587725491062767643,258.7235,57.673344
7991-6104,1-24148,587725491062767863,258.8274,57.658783
8625-9102,1-24128,587725491062767943,258.7113,57.570305
8625-12704,1-24142,587725491062833316,258.84573,57.41119
7991-12702,1-24145,587725491062833318,258.84692,57.43288
8625-3701,1-23951,587725491062898790,258.65686,57.30543
8625-1902,1-23955,587725491062899019,258.82028,57.329437
7991-9101,1-23929,587725491063095522,259.1746,56.927753
7991-3701,1-25819,587725491063750953,259.87463,55.432983
9196-12702,1-25771,587725491064275230,260.55548,54.315742
9196-1902,1-24553,587725491064668223,261.1051,53.517925
7992-3703,1-22970,587725491597344859,255.71652,62.604366
7990-9101,1-23914,587725491599900890,259.7555,57.17351
7991-9102,1-25911,587725491600490776,260.34702,55.876545
8624-12701,1-23372,587725492135854342,259.16397,59.253742
7990-3701,1-23894,587725492136837332,260.61633,57.16407
7991-12705,1-25937,587725492137230430,261.11557,56.296032
